n13439570 n13489037
n12092629 n12092262
n13680273 n13604718
n14297696 n14052403
n12763291 n13112664
n6236602 n5946687
n6550891 n6479665
n9863500 n10018021
n14777523 n14778436
v1824253 v126264
a259820 a259820
v1383947 v1380638
n10917377 n10917377
n3680512 n2958343
n10305635 n10480253
n3018848 n3414162
n3596787 n3597469
n7574602 n7573696
n5189946 n5177285
n11391379 n11391379
n5273822 n5267345
a2124253 a2124253
n12547503 n12547503
n7128692 n7109196
r281491 r281491
n4258333 n3508101
a2761053 a2761053
n12067672 n12041446
n7608533 n7596684
n4210390 n3953416
n10521288 n9625401
n11209543 n11209543
n14356578 n5823932
a245200 a245200
n10858468 n10858468
r486800 r486800
n4993604 n4916342
r447237 r447237
n9515988 n9515988
a1459058 a1459058
n5307773 n5267345
n9069415 n9069415
n8070674 n8054721
n7153641 n7151380
n4572559 n3079741
n6932265 n6904171
a343700 a343700
n2244173 n2241569
n1268271 n1024392
a2834480 a2834480
n10246703 n9617867
n8789243 n8789243
n1425634 n1326291
v1344293 v138508
n1680983 n1676755
v2741149 v2741149
n4631470 n4631298
n7535010 n7534430
n9540939 n9540430
n2724026 n21939
v1863817 v1860795
n2665119 n1432517
v2755773 v2755773
n1748100 n5225090
n2342534 n2338901
n3978130 n20090
n12488709 n13104059
n3812924 n4566257
a2809492 a2809492
n1689226 n7992450
n9192973 n9192973
n7549716 n7480068
n3175604 n3175604
n2317653 n7992450
n6657646 n5772356
n10810549 n10810549
a2090341 a2090341
a1787842 a1787842
a1700293 a1700293
a955405 a955405
n6946823 n6904171
n14909895 n14792703
n13307685 n13306870
n3391301 n3391301
v2309801 v2309165
n5787005 n5784831
n4488742 n3357376
n829378 n817680
n8814664 n8814664
v38687 v40353
n374446 n374224
n9226738 n9226738
n11885856 n12205694
n5812646 n5810948
n10041373 n10412910
n11175605 n11175605
n893955 n893955
v24047 v146138
n590148 n582388
a211827 a211827
n10100314 n9633969
n1641391 n1641391
n638602 n636921
v812882 v812580
n5043459 n5042871
a2618880 a2618880
n6618035 n6401328
a2281182 a2281182
n11919761 n11919447
n12968658 n7992450
n14631134 n14625458
n3905208 n3905208
n2028451 n2026059
a2354537 a2354537
v846218 v1058574
v1897203 v1708676
n14126293 n13526110
n9128372 n9128372
a882018 a882018
n7956112 n7951464
n12474167 n13134302
a2604261 a2604261
n3871255 n3093574
n7055203 n7020895
a1773234 a1773234
n3425325 n3285912
n14454988 n13920835
n8045681 n8045681
n4968619 n4959672
n7476282 n7291312
a1077638 a1077638
n3136051 n4359589
n8006094 n7996689
r183090 r183090
n3366301 n3366301
n3161016 n3183080
n5234162 n5225602
a1484083 a1484083
n69444 n70965
n2508346 n2508021
n10207077 n10557854
n6584256 n6355894
n4297944 n3961939
n5596442 n5303402
n3102654 n3093574
n5885622 n5872982
n8309754 n8307589
n13332670 n13329641
v919608 v918872
n5621946 n5617606
n1978455 n1974773
n8031020 n8031020
r110092 r110092
n2053425 n2021795
v1358855 v1358855
n14934864 n14806838
n8550455 n8590369
n12929061 n7992450
n15273406 n15269513
a1978532 a1978532
n7790400 n7775905
n15189684 n15157041
n9417560 n9417560
n10942279 n10942279
n3919808 n4072193
n14033917 n14033917
a3148137 a3148137
a3055809 a3055809
n3582096 n3096593
a2545257 a2545257
v1417868 v1419473
n7310991 n7310991
n9212151 n9212151
n14488317 n14488317
a1366718 a1366718
n6427387 n6417598
n3209666 n3243218
n11366405 n11366405
n10751527 n10069645
n5562902 n5562902
n5728678 n5726345
n433216 n582388
n1391779 n8108972
n7442744 n7351612
n12670962 n13104059
n1498577 n1432517
n9647834 n9644820
n6682683 n6681177
n2929289 n4361095
v2550516 v2550296
n7863802 n7557434
n15082890 n14818238
n11655592 n11655592
n13694936 n13694825
n1655951 n1627424
n14606137 n14728724
n3464952 n3464952
n1871699 n8106934
n11871294 n11567411
n4067658 n3926148
r472163 r472163
n447879 n523513
n11161045 n11161045
n2449350 n2449350
a3016202 a3016202
a534524 a534524
n5391118 n5267345
r340403 r340403
n14586769 n14586258
n868910 n868910
n3930229 n3764276
n9299727 n9299727
a1714896 a1714896
a113476 a113476
n4440749 n3533972
n14547188 n14546844
n2219015 n2206270
n9961999 n9811712
n14920252 n14920388
r256463 r256463
n13209270 n11545524
n13234293 n12205694
a1689223 a1689223
n4092609 n3597469
v136044 v146138
v97029 v2509287
a2677231 a2677231
v2320200 v429060
n12572546 n13118707
v1094661 v1094661
n110745 n788632
n9672840 n9644820
n6104844 n5870916
n15141693 n13575869
n12631331 n13118707
v1476180 v1476180
n4283378 n4283378
r315457 r315457
n13273836 n13273154
a1582461 a1582461
v1574571 v1527271
n8755852 n8755852
n4028074 n4285146
n11004333 n11004333
a2570282 a2570282
n1930485 n7992450
n4777852 n4776299
n9094381 n9094381
v450168 v449692
n2547947 n1429349
a1680836 a1680836
n7358985 n7358576
a1425529 a1425529
n8261320 n8261320
n9574226 n9574226
n4836683 n4835724
n2606751 n2554730
n5200816 n5200169
n10271677 n9807754
n5102435 n5796750
n7838811 n7809096
n15200493 n15199592
a2197364 a2197364
n2690081 n8056231
a377131 a377131
a509576 a509576
n986080 n955060
a2295710 a2295710
n1616318 n1616318
n1161411 n1160342
n7319399 n7283608
v1080064 v1080064
n4822032 n4819026
n14092247 n14501726
n2572904 n1429349
n3846234 n4509592
v209420 v1458973
n11978035 n11567411
v234536 v233335
n9549216 n9505418
a750054 a750054
n12317164 n8108972
n7153502 n7151380
n9285254 n9385911
n14777441 n14778436
n13175484 n8108972
v944548 v943837
a2775713 a2775713
n10476928 n10546633
n6598915 n6598915
a1616474 a1616474
n7403300 n7296190
n10187990 n9770949
a2256209 a2256209
n8427163 n8426461
a980385 a980385
a318667 a318667
n3043958 n3323703
v439698 v439698
n12836663 n11567411
n6789411 n6789411
v2079051 v1647672
n6006243 n6750804
a1871565 a1871565
n12920719 n12920719
n10653238 n10560637
a47653 a47653
v1501575 v1541579
a1773094 a1773094
n12112008 n12102133
n12606545 n12205694
n13944337 n14408086
n11293008 n11293008
n697024 n657604
n10692883 n10372373
v2143906 v2143283
v209598 v1458973
a2006933 a2006933
n3523849 n3804744
a2222871 a2222871
a1136541 a1136541
n11234472 n11234472
n5669797 n5667196
n4822223 n4822223
n6511396 n6643408
a2413390 a2413390
n14993378 n14939445
n10751710 n9815790
n13200986 n13200986
a1450713 a1450713
n8177592 n8168978
n203020 n37396
n5919549 n5919549
n11978233 n11669921
n13018407 n12997654
n12092766 n11567411
a33077 a33077
n13958921 n13958921
n6079439 n6037298
n3209477 n3096960
n10667863 n9878275
v2334867 v2327200
n13669998 n13669733
n3307981 n3307981
n9765118 n9625401
v1212572 v1212572
n13464440 n13457378
v2070679 v1902783
n2376016 n8108972
v2104373 v2104161
n13919394 n13867492
n14067481 n14061805
a2511800 a2511800
n3498316 n2784732
n531886 n426928
a1641460 a1641460
n7212612 n7212424
a3089377 a3089377
r42484 r42484
a1352067 a1352067
a1004703 a1004703
a1268194 a1268194
a2031986 a2031986
n5209113 n4723816
a1293158 a1293158
n10883380 n10883380
v1922576 v1921964
n8780720 n8780720
n1136519 n1135952
n9021313 n9021313
v161012 v161012
n7863935 n7557434
n6320440 n6289250
n9035951 n9035951
v1897097 v1708676
v1995549 v1995549
n7128527 n7128527
n7824383 n7809096
n5655119 n5652396
a1905653 a1905653
n9995253 n10266328
a2736179 a2736179
a2427981 a2427981
n5846054 n5846054
a2163774 a2163774
n5464685 n5238036
n13248928 n13244109
n4606574 n3489162
v1021629 v1021629
a798017 a798017
n15102167 n14966667
n9790188 n9898892
n6716675 n6716675
n7922607 n7881800
n9299885 n9299885
n2199712 n8106934
v498016 v497705
n6932130 n6904171
n12777778 n13112664
v2261123 v2261123
v1055018 v983824
n1425501 n8108972
n1905416 n5238036
n2185167 n2183857
v2427103 v2426171
n13753894 n13728499
n11846425 n11842204
n9358550 n9358550
a2775797 a2775797
a2584817 a2584817
v596484 v595935
n6452223 n6452223
n2401509 n7992450
n13391118 n13387877
n14317064 n24720
n3332989 n3574816
n14440488 n14440137
v2045655 v138508
n10810397 n10810397
n4679549 n4679549
n10858333 n10858333
v2696801 v2696801
n13366137 n13365286
a2559862 a2559862
n315986 n315986
n12440869 n11556857
n10785085 n9613191
n6702020 n6696483
a284930 a284930
n3102859 n3738472
n5332802 n5297523
v655555 v657260
n4356925 n4105893
n7069632 n7066659
n6177923 n5726345
n6261744 n6251781
n952615 n947128
n144182 n635850
n6559365 n6559365
n5189819 n5178715
n3557270 n22903
n12547658 n11567411
n10956883 n10956883
r388494 r388494
v2202802 v2202384
v1383800 v1380638
a2761162 a2761162
v1069638 v2255268
n2738741 n4192858
a2388070 a2388070
a2932802 a2932802
n12508077 n11567411
a2340096 a2340096
a725227 a725227
n10628222 n9738708
n10148305 n10148305
v332835 v2031158
n8511017 n8660339
n9481958 n9481958
n7574504 n7573696
a3041331 a3041331
n1787835 n1787835
n1748264 n1745125
v2716048 v2706605
n6971741 n6904171
n8550664 n8590369
a1459158 a1459158
n3728982 n3728982
n795352 n791078
n2993877 n3154446
v2118933 v2118933
n11930203 n13112664
n12028196 n11567411
n3680629 n3841666
v1128778 v1128193
n1689411 n1661091
a1498769 a1498769
v2741003 v2741003
n5498048 n5462674
a245319 a245319
n10173305 n548802
a2643900 a2643900
a72673 a72673
a259957 a259957
n3018971 n3018971
n1327028 n4475
n6887962 n6887726
v2275799 v2275365
n13680381 n13604718
n8491710 n8578706
n3616091 n13864763
n7549536 n7480068
a896555 a896555
n11209428 n11209428
r17445 r17445
n10897946 n10897946
n927694 n927261
n15018013 n15017604
n2763714 n3489162
n7094621 n7092158
n579834 n579564
r281383 r281383
n14513944 n13927383
n10569411 n10351874
n6618234 n6401328
n7608429 n7596684
n4317325 n4516672
n868799 n868196
a3100026 a3100026
n9779790 n9614315
n10080869 n10126806
n15116724 n28270
n12151615 n13122364
n565219 n556313
r124529 r124529
n9515877 n9515877
n8623927 n8621598
r486917 r486917
n12053138 n11556857
n15043308 n14818238
n4258438 n3259505
n9442341 n9385911
n4210591 n4188643
v1153762 v2499629
a2604343 a2604343
v2466670 v2427916
a1557614 a1557614
n6163223 n6153846
n6643120 n6642138
n11655407 n8108972
n11077195 n11077195
n5621808 n5617606
a1038102 a1038102
n2342727 n8108972
n388959 n385791
n4401088 n3278248
a2545168 a2545168
n14151139 n14061805
n10594408 n10412055
n5102300 n13575869
n7246036 n7245125
n4185071 n4185071
n2317781 n1905661
n9706746 n9620794
n15248564 n15248564
n14190736 n14174549
n2028342 n2026059
n6873252 n6873252
n14645661 n14625458
n590269 n582388
n893836 n893955
a2340003 a2340003
r197561 r197561
n13562862 n13518963
v1114143 v1113975
n1714843 n1661091
n14126181 n13526110
n119210 n859001
a377036 a377036
n4449046 n22903
n5366206 n5246511
n12449296 n12449296
n3919974 n3068181
n4993413 n4916342
n3425413 n3736970
n340989 n345454
n11905236 n11567411
n1450453 n1432517
n5273684 n5267345
v1417705 v1410223
n10305523 n10480253
n10521100 n10308732
n14165730 n14051917
n4920568 n4916342
n4474035 n4490091
n158805 n261258
n8789076 n8789076
a1063102 a1063102
n8334693 n8329453
n9251832 n9251832
n12224978 n12224978
a186490 a186490
a1748152 a1748152
n9226869 n9304750
n10055847 n9773245
n11102674 n11102674
n11714618 n7992450
v1790383 v1792097
n6138347 n6136258
a402419 a402419
n7476177 n7291312
n12763205 n14991712
n6584376 n6355894
n8550560 n8590369
n1209963 n1209576
n3102771 n2991302
n3885788 n4508163
n3812789 n3294048
n14934998 n14974264
a2907935 a2907935
a1787740 a1787740
n2822579 n3405265
n7069747 n7066659
n6393424 n6392001
a2809592 a2809592
n9608377 n9609232
n7995617 n7993929
n7055103 n7020895
v102791 v10435
n13537894 n13446390
n2508213 n2508021
n14861566 n15010703
n14415518 n14414294
n1352059 n7992450
n2067941 n7992450
n13596235 n13582013
n1905321 n5238036
n15273522 n15269513
n12067817 n12041446
a2090228 a2090228
v1403117 v1405044
n9936892 n10059162
n12738259 n12738259
n14670639 n14670639
v2525447 v2524171
a2991287 a2991287
n11464926 n11439690
n4126373 n3464467
n7442874 n7351612
v1319346 v1315613
v885768 v885217
n9961889 n9626238
n12679432 n12679432
v2657219 v2657219
n11680457 n13086908
n10330593 n9632518
n12258380 n7992450
a739789 a739789
n2210567 n1762525
n15043399 n14818238
v391203 v381601
n7271052 n7270179
n110834 n788632
n5018542 n5009170
n820845 n955060
n14224547 n14061805
n14572265 n5823932
n2631628 n2623445
n506919 n430140
n4415663 n4099429
n8696931 n8544813
n10981750 n10981750
n14704465 n14702416
n12704844 n11567411
a2677332 a2677332
a2295867 a2295867
v366275 v366275
n10726669 n9609232
n6643185 n6642138
n14920388 n14920388
a2570183 a2570183
a1425435 a1425435
n11366548 n11366548
n5680193 n5678932
r340523 r340523
a1714774 a1714774
v63557 v203866
v1094539 v1094086
n13812607 n13812607
n7633369 n7628870
r256344 r256344
a2315002 a2315002
n2449464 n8108972
n4738398 n4737934
n6427240 n6417598
n5523420 n5297523
n8320052 n8163273
n8236251 n8049401
n433113 n582388
n11748002 n13139055
n11018862 n11018862
n3077304 n3077304
n12199564 n11567411
n13728818 n13582013
n1498406 n1480516
v2236124 v2236124
n3930313 n3327234
v1310964 v1310660
n5753564 n5753564
n13273949 n13273154
n12415911 n11556857
v464687 v468791
n2126787 n2124623
n3905361 n3574816
n3846100 n3309808
n9672963 n9644820
n1582625 n7992450
v425071 v425071
n1077350 n1073995
n8275843 n7965085
n11700058 n12205694
n3787308 n3526198
n2112137 n2083346
n8971693 n8971693
n5694791 n5686481
n14968308 n14586258
n4381860 n4362025
a1582598 a1582598
n7838905 n7809096
a823556 a823556
n349369 n349369
n7417851 n7416714
n6368425 n6364329
n7765517 n7705711
n6682794 n6681177
n1944955 n1940736
v2452092 v2451370
n1220336 n1220619
n10712055 n9617696
n11439924 n11524662
n13655414 n13655414
n2533209 n2533209
n5116953 n5107765
n6800344 n6799897
n8598568 n8664443
n1871543 n1861778
n12954185 n8108972
n1234952 n859001
n13307784 n13306870
a2197476 a2197476
n2474431 n2472293
a211916 a211916
v787359 v785008
v523436 v356258
n3425092 n4306080
n15189838 n15157041
n10148035 n9626238
n15141894 n13575869
n7344120 n7352190
n2474605 n2472293
n1543059 n1507175
n13200651 n11545524
n14356720 n5823932
n3523506 n4230808
n13680463 n13604718
v680692 v1645601
n8427282 n8426461
a270496 a270496
n5714332 n5714161
n1807265 n7992450
n2258910 n1759182
n7608339 n7596684
n10653388 n9605289
n9574544 n9574544
n4572344 n3302121
n9779461 n10794014
n13018749 n8108972
v2393304 v2391803
n7114284 n6284225
a3114508 a3114508
n3268142 n3237639
n12572373 n11567411
n1102862 n1101958
n7897438 n7881800
a534250 a534250
n6006117 n6750804
r329768 r329768
n8682575 n8682575
n8985958 n8985958
n8275704 n7965085
v1692096 v1692096
n1557697 n1507175
n7358768 n7358576
v2598642 v2576503
a3080619 a3080619
a980287 a980287
n11689197 n13135832
v1212230 v1212230
n14297406 n14285662
n3753826 n3740161
n13919685 n13860793
n11248997 n11248997
r340133 r340133
n12861541 n13118707
n6682494 n6681177
a994882 a994882
v234217 v233335
n5919263 n5916739
n13714376 n13608598
r315174 r315174
v1442578 v1442361
a1004818 a1004818
a3016027 a3016027
n3680355 n4199027
n9035852 n9035852
a1616157 a1616157
n1220074 n874067
n5200670 n5200169
n12836508 n12205694
a2222578 a2222578
n12126736 n12126360
a1846413 a1846413
a2736276 a2736276
n2376135 n2373336
v689068 v689344
n1038147 n1034925
v2511075 v2510337
n10628368 n10058777
a2427882 a2427882
v714531 v713167
n7153838 n7151380
v1549420 v1549187
v1192992 v1192992
n506554 n430140
r197811 r197811
n3234795 n3076708
a1871473 a1871473
n11018683 n11018683
a2486248 a2486248
n4836960 n4835724
n13846199 n14429985
n13439390 n13526110
n13043746 n8108972
n11498461 n11419404
n7672914 n7809096
n5655482 n5652396
n9094217 n9094217
v1981279 v1981279
n1077738 n1073995
n12606227 n11556857
n14968038 n14966667
v2320374 v2320374
a2413221 a2413221
v1021973 v955601
n7922955 n7566340
n10917554 n10917554
n11944569 n11567411
n5753954 n5752544
n4317063 n4194289
n4165945 n3269401
n12342498 n12205694
n7574426 n7573696
v189927 v182406
v787515 v829107
n5680423 n5678932
n11293157 n11293157
n5391269 n5267345
n10712229 n9632274
n2690373 n2686568
n8309611 n8307589
a2026055 a2026055
a2051013 a2051013
n13004160 n8108972
n927516 n927261
n3004409 n3309808
n5234016 n5225602
n10844031 n10844031
v1417578 v1400044
n5307952 n5267345
a2065665 a2065665
n3728811 n3104594
n9608002 n9626238
n6222236 n6208021
r281687 r281687
n3978300 n3178782
r413649 r413649
n8550766 n8590369
n6971605 n6904171
a186616 a186616
n8873269 n8873269
a318942 a318942
a2868051 a2868051
n893649 n893955
a402855 a402855
a2761251 a2761251
n4258138 n4069276
n12929237 n11567411
n10114662 n9605289
n14381732 n14052403
n9476011 n8435388
n6559004 n6479665
n10462217 n9605289
v1922895 v1921964
n14342132 n5823932
a1450443 a1450443
a461195 a461195
v2584097 v2075462
v596342 v596132
n10246511 n10605985
n119297 n859001
a1787548 a1787548
n8789447 n8789447
n11450453 n11449907
n14297489 n14285662
n9310806 n9224911
n217773 n217014
n1773319 n1762525
n9672590 n9644820
n9128536 n9128536
n10437262 n10437262
n2283951 n2283201
n1748389 n1745125
n9877951 n9877951
n13523208 n13523208
n2303167 n1762525
n5248667 n5248181
n3366630 n4188643
r110286 r110286
r354781 r354781
v1285286 v1285440
n1268020 n1268020
n12415595 n12411922
n2185007 n1762525
v2741357 v2741149
n2401661 n8108972
n14777768 n14778436
v2682567 v2681795
n10883688 n10883688
n2954163 n4191595
n2738449 n2784218
n12738087 n11567411
n2679961 n3699975
n14679267 n14662574
n2244396 n1762525
n9838370 n9630641
n3596543 n2686568
n8491826 n8491826
n4586932 n4586932
n12777680 n13112664
r42769 r42769
v1790538 v1792097
a2702807 a2702807
v1069989 v785008
n11200949 n11200949
n3714235 n4447443
n868669 n868196
n14909703 n14580897
n11391587 n11391587
n11209306 n11209306
a1161635 a1161635
n5983801 n5981230
n3871083 n3094503
n9936825 n10129825
a245458 a245458
n7549401 n7480068
n11102493 n11102493
a3055658 a3055658
n8887841 n8887841
v2059916 v2059916
v1608706 v1608706
n9647680 n9644820
n6236802 n5946687
a2559694 a2559694
n7055401 n7020895
n10271451 n9626031
r486509 r486509
n3175843 n3175843
n11655764 n8108972
v871405 v870213
n2606926 n1432517
a1523968 a1523968
n12258663 n11567411
n7751004 n7705711
n374677 n374677
n4993752 n4916342
n1714982 n8108972
n8118849 n8220714
n1425336 n7992450
n1234612 n1080366
n10594523 n10439851
a2090567 a2090567
a1077829 a1077829
r242006 r242006
n10819134 n10819134
n15209074 n15154774
a921866 a921866
n7251984 n6686736
n12219065 n13112664
n15116910 n28270
n1930672 n1921887
a1498418 a1498418
n4190997 n4244997
n13885836 n27807
n6873139 n7110615
n8800258 n8800258
n5273555 n5267345
a475749 a475749
n4067818 n4105893
n6584049 n6355894
n4440597 n3045337
a436115 a436115
n5596651 n5585665
a1964196 a1964196
n158996 n42311
n14875878 n14727670
n4968895 n4959672
n3136254 n4451818
a2329355 a2329355
n7442569 n7351612
a2604473 a2604473
n14440623 n14440137
n8070341 n8054721
n12185078 n11567411
n2763472 n4334599
n7790601 n7790601
n2303284 n2301452
n829170 n817680
v919829 v918872
n5582038 n5221895
a2809692 a2809692
a896378 a896378
n4028221 n3489162
n7726009 n7705711
n11352035 n11352035
a1680689 a1680689
n9153570 n9153570
n3621935 n2743547
n1004775 n996969
n35891 n37396
n9226997 n9224911
a2584610 a2584610
v1667132 v1667132
v1403012 v1405044
n15273626 n13575869
n9442723 n9385137
n8334581 n8329453
n21265 n21265
n6163396 n5793000
a147052 a147052
n8261162 n8260961
n9863339 n10560637
n9961739 n9623038
n3885669 n4350905
n4381587 n4379243
n12968882 n8108972
n13596106 n13582013
v2755911 v2755911
n2929059 n4180314
v1319049 v1317723
n1964049 n1940736
n8045428 n8045428
a1596809 a1596809
n4488530 n4488530
v1080235 v1080064
v616153 v616153
n11846087 n11567411
a2545023 a2545023
n2822220 n3050026
n3161228 n3650173
n9212360 n9225146
n1641577 n1627424
a2452919 a2452919
n579564 n579564
n10100124 n9629752
n7501545 n7501545
v102420 v1236164
n13537761 n13440063
v1897406 v1708676
n13077033 n12992868
n4224842 n4338517
n9501527 n9501527
v1153486 v2499629
n6329165 n7997703
n7476092 n7475870
n4356595 n3497657
a739663 a739663
n10378412 n7347
a691022 a691022
v523304 v126264
n433458 n523513
n4053218 n3315023
n3220237 n3743902
a1714633 a1714633
n15200661 n15183428
n9731436 n9634494
n5057805 n15286249
n2053279 n1507175
n6598648 n5770664
n8643015 n8497294
n5141840 n5142180
r76193 r76193
n1175831 n349369
n820721 n817680
n2690270 n3895293
n13655570 n13603305
n13978033 n13977366
n11175445 n11175445
v2236023 v1009240
n12670758 n12670758
n14572353 n14051917
a377323 a377323
n10751785 n10451263
n10726786 n10548681
a666058 a666058
n663333 n657604
n7319103 n7283608
n11871059 n12205694
n2126640 n2124623
r256693 r256693
n10041539 n10412910
n7647870 n13760316
n2210427 n2206270
n4297750 n3391770
n11885697 n11567411
n6657464 n5772356
a2295511 a2295511
n7187150 n7186828
n1518170 n8106934
n11728945 n13103136
n9358907 n14842992
n4513998 n3309808
v1094898 v1094898
v2070296 v2070296
a2834603 a2834603
n14670954 n14662574
n94240 n94001
v1310660 v1310660
n2449582 n8108972
n11366658 n11366658
n4631700 n4635104
n13728924 n13582013
n14934655 n14974264
n9069190 n9069190
n1391569 n8106934
n12317487 n14991712
a113663 a113663
n8598696 n8567235
n1871875 n1861778
n4415578 n3315023
n2151625 n5297523
n3930431 n3764276
a2570046 a2570046
n7765612 n7765612
n13930073 n13928668
n10330439 n9628382
n14067076 n14061805
n2920658 n3094503
v1226875 v1226875
a1582224 a1582224
n2533545 n2533209
n7726095 n7705711
v1251828 v1332730
n14488594 n14488594
a2584699 a2584699
a1655651 a1655651
n5366341 n5246511
n14547369 n14547369
n7299965 n7283608
n2112018 n2083346
n11234292 n11234292
n14126078 n13526110
n6031657 n6000644
n1136265 n1135952
a2893195 a2893195
n13189844 n13189844
n5812485 n5810948
a2991586 a2991586
n2861886 n2861886
n3464757 n3315023
n110964 n788632
a1327371 a1327371
n11425401 n11419404
n11753936 n7992450
v905283 v822367
n4920867 n4916342
n3077442 n3154446
v200863 v681429
n12645754 n14966667
n1616551 n1616318
a1700075 a1700075
n10173086 n5625465
a1293542 a1293542
n10403876 n10403876
n11004106 n11004106
n6295113 n6732169
n12586989 n12582231
n6814870 n6359877
v1897489 v1708676
n4126659 n3407122
n736786 n735936
a1352320 a1352320
n5910810 n5616786
n15175202 n5726345
r354861 r354861
n1268183 n947128
n13680599 n13604718
n13478813 n13526110
v944788 v941990
n3523633 n3964744
v1751021 v1675963
n8971404 n8971404
v2070466 v2066939
n14317221 n24720
n11714382 n13111174
n1543175 n1542786
a3080756 a3080756
n10148165 n9815790
a980144 a980144
a2452789 a2452789
a1616244 a1616244
a2197130 a2197130
n5141683 n5141683
n14968185 n14966667
n7344233 n7352190
n13439230 n13518963
n14763059 n14759722
n12920955 n12917901
n1498268 n1432517
n7153727 n7151380
a2775934 a2775934
a764484 a764484
n4356772 n4263760
a509377 a509377
v63291 v208210
n4572235 n3699975
n2199502 n2190166
a1425708 a1425708
n7608245 n7596684
n6716483 n6716483
n7114154 n6284225
a47406 a47406
n4381724 n3053474
n506658 n430140
v1069809 v785008
v1501347 v1501347
n6079620 n6000400
n14993137 n14842992
n7383823 n7371293
r329878 r329878
n9574446 n9574446
n736989 n735936
n15248812 n15248812
a2761349 a2761349
n2053083 n2021795
n13714491 n13608598
a1871349 a1871349
n9035735 n9035735
n13944516 n14408086
n2631899 n1432517
a1885991 a1885991
n12381931 n13112664
a1122121 a1122121
n9358751 n9334396
n10378213 n9984659
a3089121 a3089121
a343883 a343883
r413725 r413725
a1004932 a1004932
n14802921 n14586258
a573926 a573926
r124702 r124702
v930194 v943837
v1726039 v1724459
n7633229 n7628870
a2736393 a2736393
n14572503 n5823932
n11689054 n13087625
n11930038 n11928549
a1557386 a1557386
n6780882 n6776138
n11596845 n8106934
n1832167 n1831712
n4151405 n4339291
n12112219 n12102133
a994744 a994744
n13464204 n13457378
n6789215 n6786629
a607857 a607857
n4317175 n3739693
a1293396 a1293396
a2486122 a2486122
a1195128 a1195128
n12645913 n14966667
n1293167 n1293167
n15200896 n15199592
v2118793 v2118476
n13209129 n11545524
n9731571 n9738400
v1021871 v1021629
a2222675 a2222675
n7588947 n7588947
n11523839 n11419404
n6065020 n6043075
n11043519 n11043519
n2895328 n3993180
n6598746 n5770664
n5958919 n5943300
v641138 v637259
n11209201 n11209201
n2738535 n3001627
